,cloud,wind,ave_tmp,max_tmp,min_tmp,rain
2018/5/17,9,3.7,24,28.4,21.4,0
2018/5/18,7.8,3,23.4,27.1,20,0
2018/5/19,7.5,3.9,21.5,26.3,15.3,0
2018/5/20,4.3,3.5,16.8,22.1,13.1,0
2018/5/21,10,2.4,20.3,27.2,13.7,0
2018/5/22,0.3,3.1,21,27.3,15,0
2018/5/23,10,2.3,18.6,22,17,9
2018/5/24,6,2.8,20.7,25.7,16.1,6
2018/5/25,8.3,3.7,22.8,27.1,18.7,0
2018/5/26,9.8,2.7,21.4,25.2,18,0
2018/5/27,3.3,2.9,21.3,26.9,16.2,0
2018/5/28,10,2.5,21.6,26,18.8,0
2018/5/29,10,3.2,23,27.6,19.3,0
2018/5/30,10,2.6,21.1,25,17.4,8.5
2018/5/31,10,2.4,19.5,22,16.5,0
2018/6/1,8,3.4,21.7,27.5,17.3,0
2018/6/2,3.8,2.4,21.9,27.2,16.9,0
2018/6/3,4.3,2.8,22.5,28.6,17.3,0
2018/6/4,3,2.8,23.5,29.1,18.5,0
2018/6/5,7.5,2.3,23.2,28.3,18.2,0
2018/6/6,10,1.7,20.3,22.8,18.3,12.5
2018/6/7,7.8,2.6,22.2,27.3,18.2,1.5
2018/6/8,7.3,4,23.7,27.5,19.3,1
2018/6/9,8.8,2.7,25.7,32,21.2,0
2018/6/10,10,3,20,22,18.6,31
2018/6/11,10,2.9,18.9,19.9,18.1,50
2018/6/12,10,2.2,20.5,26.4,17.8,0
2018/6/13,8,2.7,21.5,27,18.3,0
2018/6/14,10,3.4,20.6,25.2,18.6,0
2018/6/15,10,3.2,17.6,20,15.4,9.5
2018/6/16,10,2.8,15.9,18.4,14.2,3
2018/6/17,10,2.3,18.7,22.5,15.1,0
2018/6/18,10,1.9,19.4,21.2,17.7,2
2018/6/19,9.8,3,22.7,28.8,18.2,0
2018/6/20,10,2.7,20.8,21.7,19.4,24.5
2018/6/21,9.5,2,21.2,24.4,19,2
2018/6/22,7.3,2.7,23.1,28.1,19.4,0
2018/6/23,10,1.7,20.6,23,17.9,16
2018/6/24,10,2.1,21.3,27,18.4,2.5
2018/6/25,2.8,2.4,26.2,32.6,19.7,0
2018/6/26,7.5,3.6,25.7,30.1,22.3,0
2018/6/27,9,7,27.7,31.7,24.9,0
2018/6/28,8,6,27.4,31.9,25.2,0
2018/6/29,4,6.9,28.2,32.9,25.4,0
2018/6/30,6,5.8,28.6,32.7,25.2,0
2018/7/1,1.5,5.1,28.1,32,25.4,0
2018/7/2,0,3.7,28.8,33.5,24,0
2018/7/3,7.8,5,28.4,32.7,25.6,0
2018/7/4,10,6.6,27.6,31.2,25.5,0
2018/7/5,10,6.9,26.7,28.7,24.8,2
2018/7/6,10,3.1,21.7,25,19.1,28.5
2018/7/7,10,3.8,25,29.6,19.3,0
2018/7/8,10,3.9,27.4,32.2,24.5,0
2018/7/9,7.8,3.2,27.3,31.6,24.2,3.5
2018/7/10,6,3.7,28.5,32.8,25.4,0
2018/7/11,10,2.1,29,34.2,25.2,0
2018/7/12,10,2.6,26.6,30,23.1,3.5
2018/7/13,8.5,2.7,29.1,33.8,25.5,0
2018/7/14,7,2.8,30.1,35.4,26.2,0
2018/7/15,3,3.2,29.7,34.5,26.3,0
2018/7/16,9.8,3,29.9,34.4,26.3,0
2018/7/17,10,3.4,29.9,34.8,26.9,0
2018/7/18,5.3,3,30.5,35.3,26.7,0
2018/7/19,7.3,3.6,29.9,34.8,26.6,0
2018/7/20,3.5,4.4,29.9,34.2,27,0
2018/7/21,6.5,3.2,30.5,34.9,26.9,0
2018/7/22,8.3,2.4,31,35.6,26.6,0
2018/7/23,7.5,2.9,32.2,39,28.5,0
2018/7/24,6.3,2.8,29.8,35.3,26.3,2.5
2018/7/25,10,3,28.1,32.2,25.7,0
2018/7/26,9.8,2.9,26.5,30.7,24.3,0
2018/7/27,9.5,3.1,25.4,28.5,23.5,0
2018/7/28,10,4.2,24,28,20.1,52
2018/7/29,9,3.6,27.9,32.3,25.4,15
2018/7/30,8.8,2.6,28,31.9,25,0
2018/7/31,4.5,2.6,28.4,33.8,24.4,0
2018/8/1,1.8,2.6,30.3,35.1,24.8,0
2018/8/2,6.5,2.5,31.2,37.3,26.7,0
2018/8/3,6,2.6,30.5,35.4,27.3,0
2018/8/4,7.3,2.8,29.8,34.1,26.1,0
2018/8/5,4.5,3.3,30.4,34.7,27.2,0
2018/8/6,10,3,28.7,34,25,0
2018/8/7,10,3.3,22.2,25,20.8,4.5
2018/8/8,10,3.9,23.6,25.1,21.6,41
2018/8/9,8.3,5,27.4,32.1,23.8,4
2018/8/10,5.8,3.8,29.8,34.5,27,0
2018/8/11,9.5,2.3,28.7,33.6,26,0.5
2018/8/12,10,2.2,27.7,31.1,25.6,0
2018/8/13,10,2,27.5,34.1,24.6,10.5
2018/8/14,6,3.8,28.8,34.1,23.9,0
2018/8/15,9.5,5.8,29.7,33.1,27.2,0
2018/8/16,9,5.9,29.1,32.3,25.8,0
2018/8/17,4,5.5,26.3,30,21.3,0
2018/8/18,7.8,2.9,22.7,27.2,18.3,0
2018/8/19,7.8,2.5,23.6,28.6,19.4,0
2018/8/20,10,1.7,24.7,27.6,20.9,0
2018/8/21,6,3.5,28.2,33.6,23.7,0
2018/8/22,2.8,4.9,29.7,34.1,26.9,0
2018/8/23,8.5,4.8,29.4,33.7,26.2,0
2018/8/24,10,7.4,28.2,31.4,26.3,7.5
2018/8/25,5.5,4.3,31.1,35.6,27.6,0
2018/8/26,3.5,2.1,31,36,26.4,0
2018/8/27,4.5,2.9,29.4,35.8,24.5,16
2018/8/28,10,2.3,26.6,30.5,23.5,1
2018/8/29,10,2.4,26.1,29.2,24.1,0.5
2018/8/30,9.3,2.9,28.8,34,25,0
2018/8/31,9.3,2.5,28.7,35.4,25.1,1
2018/9/1,8.5,2.5,25.9,31.4,21,6
2018/9/2,10,2,22.1,23.7,20.7,7.5
2018/9/3,10,1.8,23.6,26.1,22,4
2018/9/4,10,5.9,26.5,28.7,22.8,14.5
2018/9/5,6.5,6.6,27.6,32,22.5,8.5
2018/9/6,8.8,3.7,27.6,31.5,24.8,0
2018/9/7,9.3,5.4,27.5,30.4,24.9,0
2018/9/8,8.3,5.3,28.8,33,26.3,0
2018/9/9,8.3,4.9,28.3,32.1,26.1,0
2018/9/10,10,3.6,25.5,30.6,21.4,38.5
2018/9/11,10,3.7,21.4,23.9,19.3,4
2018/9/12,9.5,2.9,21,24.4,18.1,0
2018/9/13,10,2.1,22.4,27.3,18.5,0
2018/9/14,10,2,21.9,24.9,19.9,7.5
2018/9/15,10,1.5,20.5,22.2,19.1,14.5
2018/9/16,8.8,1.8,23.1,27.4,20.1,0
2018/9/17,9.5,2.3,24.7,31.2,21.1,26
2018/9/18,7.8,2.7,23.3,28.1,20.3,40.5
2018/9/19,7.3,2.8,22.2,27.4,18.2,0
2018/9/20,10,2.1,19.9,24,15.4,40.5
2018/9/21,10,3.5,17.7,19,15.6,36
2018/9/22,8.5,1.2,21.5,25.8,18.7,0
2018/9/23,9.3,2.3,24.5,28.4,21.8,0
2018/9/24,9.8,2,24.4,28.6,21.2,1.5
2018/9/25,10,2.5,21.3,25.2,18.6,14.5
2018/9/26,10,2.5,17.7,19.9,15.7,38.5
2018/9/27,10,2.9,15.9,17.5,14.7,19
2018/9/28,1.5,2.1,19.7,26,14.1,0
2018/9/29,10,2.1,18.8,21.3,17.2,9.5
2018/9/30,10,3.5,20.4,27,16.9,34
2018/10/1,6.5,6.1,26.1,32.3,20.4,18
2018/10/2,3.3,2.9,22,26.9,17.5,0
2018/10/3,8.3,2.3,21,23.3,18.1,0
2018/10/4,10,2.4,20.1,21.4,18.7,0
2018/10/5,10,2.4,18.7,20.1,17.8,9.5
2018/10/6,7.3,3.4,23.7,29.3,18.4,0
2018/10/7,2.8,4.4,27.5,32.3,23.9,0
2018/10/8,9,2.7,21.9,24.1,18.7,0
2018/10/9,5.8,2.2,21.9,26.4,17.9,0
2018/10/10,9,2.4,22.4,26.4,18.7,0.5
2018/10/11,10,2,21.7,23.7,19.7,1
2018/10/12,10,2.8,20,22.5,18.4,0
2018/10/13,10,2.6,17.4,18.5,15.6,0
2018/10/14,9.8,2.3,16.4,19.6,13.2,7.5
2018/10/15,10,1.5,18.1,21.1,16.2,0.5
2018/10/16,9,2.1,18.4,21.2,15.5,0
2018/10/17,9.5,2.5,18.2,22.3,14.9,1
2018/10/18,5.8,2.6,17.2,21.7,13.7,0
2018/10/19,9.5,2.5,16.6,20.1,14.3,0.5
2018/10/20,7.5,2.8,16.6,22,13,9
2018/10/21,0,2.6,16.6,21.6,12.8,0
2018/10/22,3.5,2.1,16.6,21.6,11.6,0
2018/10/23,10,2.7,14.6,16,12.6,1.5
2018/10/24,7.8,2.2,17.7,22.7,13.7,0.5
2018/10/25,2,2.3,18.1,22.4,14,0
2018/10/26,9.5,2.3,18,21.6,14.8,0
2018/10/27,7.3,2.1,19.1,24.4,15.9,12
2018/10/28,5,2.2,16.9,21.1,13.9,0
2018/10/29,0,2.4,17,22.2,12.2,0
2018/10/30,1.5,2.3,17,22.9,11.8,0
2018/10/31,8.8,2.6,15,19.9,11.9,0
2018/11/1,4.3,3.1,14.7,19.5,11.5,0
2018/11/2,2,2.2,14.5,18.8,10.1,0
2018/11/3,3.5,2.1,14.9,20.2,10.6,0
2018/11/4,9.8,2,14.8,16.4,13,0
2018/11/5,9.3,1.8,18,21.9,14.5,1.5
2018/11/6,10,1.9,17.6,21.1,16.2,35.5
2018/11/7,7.5,2.8,16.6,20,13.8,0
2018/11/8,7,2.7,16.9,20.7,13.1,0
2018/11/9,10,1.8,15.6,17.3,14.2,7
2018/11/10,6.3,2.2,18.1,22.8,15,1.5
2018/11/11,5,2,16.3,20.1,13.5,0
2018/11/12,10,1.8,15.7,19,12.8,0.5
2018/11/13,10,2.7,14.9,16.6,12.6,1.5
2018/11/14,4.3,2.7,13.6,16.7,10.1,0
2018/11/15,0,2.1,12.5,17,8.7,0
2018/11/16,7,1.9,13,17.2,8.1,0
2018/11/17,6.5,2.1,14.9,19.5,11.1,0
2018/11/18,10,2.1,13.8,17.2,10.8,0
2018/11/19,10,1.9,13.4,16.3,10.8,8.5
2018/11/20,7.3,2.1,11.3,15.3,8.2,1
2018/11/21,5.3,1.6,11.6,16.3,5.8,1.5
2018/11/22,7.5,2,10.7,13.5,7.9,4
2018/11/23,4.3,2.3,10.8,15.3,6.6,0
2018/11/24,8,2,9.4,12.1,7.5,0
2018/11/25,8.3,2,10.1,14.5,6.5,0
2018/11/26,9.8,1.9,12.4,17.7,7.1,0
2018/11/27,5.5,1.9,13.8,17.9,11.5,0
2018/11/28,5,1.6,14.1,18.1,8.9,0
2018/11/29,10,2.5,12.8,15.3,10.8,0.5
2018/11/30,2.8,2.4,12.4,16,8.1,0
2018/12/1,5.3,2.7,12,17.2,7.7,0
2018/12/2,10,2.2,10,11.6,7.7,0
2018/12/3,10,1.5,13.2,17,9.7,0
2018/12/4,9.3,2.9,17.7,23.4,12.3,0
2018/12/5,8.5,3.1,16.8,20.2,13.1,0
2018/12/6,10,2.4,10.1,13.2,8.3,18
2018/12/7,10,1.8,12.2,16.4,9,0
2018/12/8,7.3,2.3,9.3,12.2,6.3,0
2018/12/9,8.3,3.1,7.8,10.5,5.5,0
2018/12/10,6.3,2.5,5.9,8.4,4.1,0
2018/12/11,7.5,2.4,4.7,7.3,1.4,7
2018/12/12,9,3.4,6.9,10.8,3.2,15
2018/12/13,6.8,2.6,6.7,9.6,4.2,0.5
2018/12/14,3.5,4,6.3,10.3,2.5,0
2018/12/15,1.3,3.3,6.1,9.5,2.6,0
2018/12/16,7,1.7,3.3,5.8,0.4,0
2018/12/17,6,1.6,6.6,11.5,3,2.5
2018/12/18,2.5,2.9,8.9,12.8,5.1,0
2018/12/19,0.5,2,8.2,12.7,3.7,0
2018/12/20,6.3,1.6,8.7,14.1,4.2,0
2018/12/21,3.3,1.8,8.9,13.7,3.9,0
